"","x"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",7
"8",8
"9",9
"10",10
"11",11
"12",12
"13",13
"14",14
"15",15
"16",16
"17",17
"18",18
"19",19
"20",20
"21",21
"22",22
"23",23
"24",24
"25",25
"26",26
"27",27
"28",28
"29",29
"30",30
"31",31
"32",1
"33",2
"34",3
"35",4
"36",5
"37",6
"38",7
"39",8
"40",9
"41",10
"42",11
"43",12
"44",13
"45",14
"46",15
"47",16
"48",17
"49",18
"50",19
"51",20
"52",21
"53",22
"54",23
"55",24
"56",25
"57",26
"58",27
"59",28
"60",1
"61",2
"62",3
"63",4
"64",5
"65",6
"66",7
"67",8
"68",9
"69",10
"70",11
"71",12
"72",13
"73",14
"74",15
"75",16
"76",17
"77",18
"78",19
"79",20
"80",21
"81",22
"82",23
"83",24
"84",25
"85",26
"86",27
"87",28
"88",29
"89",30
"90",31
"91",1
"92",2
"93",3
"94",4
"95",5
"96",6
"97",7
"98",8
"99",9
"100",10
"101",11
"102",12
"103",13
"104",14
"105",15
"106",16
"107",17
"108",18
"109",19
"110",20
"111",21
"112",22
"113",23
"114",24
"115",25
"116",26
"117",27
"118",28
"119",29
"120",30
"121",1
"122",2
"123",3
"124",4
"125",5
"126",6
"127",7
"128",8
"129",9
"130",10
"131",11
"132",12
"133",13
"134",14
"135",15
"136",16
"137",17
"138",18
"139",19
"140",20
"141",21
"142",22
"143",23
"144",24
"145",25
"146",26
"147",27
"148",28
"149",29
"150",30
"151",31
"152",1
"153",2
"154",3
"155",4
"156",5
"157",6
"158",7
"159",8
"160",9
"161",10
"162",11
"163",12
"164",13
"165",14
"166",15
"167",16
"168",17
"169",18
"170",19
"171",20
"172",21
"173",22
"174",23
"175",24
"176",25
"177",26
"178",27
"179",28
"180",29
"181",30
"182",1
"183",2
"184",3
"185",4
"186",5
"187",6
"188",7
"189",8
"190",9
"191",10
"192",11
"193",12
"194",13
"195",14
"196",15
"197",16
"198",17
"199",18
"200",19
"201",20
"202",21
"203",22
"204",23
"205",24
"206",25
"207",26
"208",27
"209",28
"210",29
"211",30
"212",31
"213",1
"214",2
"215",3
"216",4
"217",5
"218",6
"219",7
"220",8
"221",9
"222",10
"223",11
"224",12
"225",13
"226",14
"227",15
"228",16
"229",17
"230",18
"231",19
"232",20
"233",21
"234",22
"235",23
"236",24
"237",25
"238",26
"239",27
"240",28
"241",29
"242",30
"243",31
"244",1
"245",2
"246",3
"247",4
"248",5
"249",6
"250",7
"251",8
"252",9
"253",10
"254",11
"255",12
"256",13
"257",14
"258",15
"259",16
"260",17
"261",18
"262",19
"263",20
"264",21
"265",22
"266",23
"267",24
"268",25
"269",26
"270",27
"271",28
"272",29
"273",30
"274",1
"275",2
"276",3
"277",4
"278",5
"279",6
"280",7
"281",8
"282",9
"283",10
"284",11
"285",12
"286",13
"287",14
"288",15
"289",16
"290",17
"291",18
"292",19
"293",20
"294",21
"295",22
"296",23
"297",24
"298",25
"299",26
"300",27
"301",28
"302",29
"303",30
"304",31
"305",1
"306",2
"307",3
"308",4
"309",5
"310",6
"311",7
"312",8
"313",9
"314",10
"315",11
"316",12
"317",13
"318",14
"319",15
"320",16
"321",17
"322",18
"323",19
"324",20
"325",21
"326",22
"327",23
"328",24
"329",25
"330",26
"331",27
"332",28
"333",29
"334",30
"335",1
"336",2
"337",3
"338",4
"339",5
"340",6
"341",7
"342",8
"343",9
"344",10
"345",11
"346",12
"347",13
"348",14
"349",15
"350",16
"351",17
"352",18
"353",19
"354",20
"355",21
"356",22
"357",23
"358",24
"359",25
"360",26
"361",27
"362",28
"363",29
"364",30
"365",31
"366",1
"367",2
"368",3
"369",4
"370",5
"371",6
"372",7
"373",8
"374",9
"375",10
"376",11
"377",12
"378",13
"379",14
"380",15
"381",16
"382",17
"383",18
"384",19
"385",20
"386",21
"387",22
"388",23
"389",24
"390",25
"391",26
"392",27
"393",28
"394",29
"395",30
"396",31
"397",1
"398",2
"399",3
"400",4
"401",5
"402",6
"403",7
"404",8
"405",9
"406",10
"407",11
"408",12
"409",13
"410",14
"411",15
"412",16
"413",17
"414",18
"415",19
"416",20
"417",21
"418",22
"419",23
"420",24
"421",25
"422",26
"423",27
"424",28
"425",1
"426",2
"427",3
"428",4
"429",5
"430",6
"431",7
"432",8
"433",9
"434",10
"435",11
"436",12
"437",13
"438",14
"439",15
"440",16
"441",17
"442",18
"443",19
"444",20
"445",21
"446",22
"447",23
"448",24
"449",25
"450",26
"451",27
"452",28
