"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",1
"14",1
"15",1
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
"22",1
"23",1
"24",1
"25",1
"26",1
"27",1
"28",1
"29",1
"30",1
"31",1
"32",2
"33",2
"34",2
"35",2
"36",2
"37",2
"38",2
"39",2
"40",2
"41",2
"42",2
"43",2
"44",2
"45",2
"46",2
"47",2
"48",2
"49",2
"50",2
"51",2
"52",2
"53",2
"54",2
"55",2
"56",2
"57",2
"58",2
"59",2
"60",3
"61",3
"62",3
"63",3
"64",3
"65",3
"66",3
"67",3
"68",3
"69",3
"70",3
"71",3
"72",3
"73",3
"74",3
"75",3
"76",3
"77",3
"78",3
"79",3
"80",3
"81",3
"82",3
"83",3
"84",3
"85",3
"86",3
"87",3
"88",3
"89",3
"90",3
"91",4
"92",4
"93",4
"94",4
"95",4
"96",4
"97",4
"98",4
"99",4
"100",4
"101",4
"102",4
"103",4
"104",4
"105",4
"106",4
"107",4
"108",4
"109",4
"110",4
"111",4
"112",4
"113",4
"114",4
"115",4
"116",4
"117",4
"118",4
"119",4
"120",4
"121",5
"122",5
"123",5
"124",5
"125",5
"126",5
"127",5
"128",5
"129",5
"130",5
"131",5
"132",5
"133",5
"134",5
"135",5
"136",5
"137",5
"138",5
"139",5
"140",5
"141",5
"142",5
"143",5
"144",5
"145",5
"146",5
"147",5
"148",5
"149",5
"150",5
"151",5
"152",6
"153",6
"154",6
"155",6
"156",6
"157",6
"158",6
"159",6
"160",6
"161",6
"162",6
"163",6
"164",6
"165",6
"166",6
"167",6
"168",6
"169",6
"170",6
"171",6
"172",6
"173",6
"174",6
"175",6
"176",6
"177",6
"178",6
"179",6
"180",6
"181",6
"182",7
"183",7
"184",7
"185",7
"186",7
"187",7
"188",7
"189",7
"190",7
"191",7
"192",7
"193",7
"194",7
"195",7
"196",7
"197",7
"198",7
"199",7
"200",7
"201",7
"202",7
"203",7
"204",7
"205",7
"206",7
"207",7
"208",7
"209",7
"210",7
"211",7
"212",7
"213",8
"214",8
"215",8
"216",8
"217",8
"218",8
"219",8
"220",8
"221",8
"222",8
"223",8
"224",8
"225",8
"226",8
"227",8
"228",8
"229",8
"230",8
"231",8
"232",8
"233",8
"234",8
"235",8
"236",8
"237",8
"238",8
"239",8
"240",8
"241",8
"242",8
"243",8
"244",9
"245",9
"246",9
"247",9
"248",9
"249",9
"250",9
"251",9
"252",9
"253",9
"254",9
"255",9
"256",9
"257",9
"258",9
"259",9
"260",9
"261",9
"262",9
"263",9
"264",9
"265",9
"266",9
"267",9
"268",9
"269",9
"270",9
"271",9
"272",9
"273",9
"274",10
"275",10
"276",10
"277",10
"278",10
"279",10
"280",10
"281",10
"282",10
"283",10
"284",10
"285",10
"286",10
"287",10
"288",10
"289",10
"290",10
"291",10
"292",10
"293",10
"294",10
"295",10
"296",10
"297",10
"298",10
"299",10
"300",10
"301",10
"302",10
"303",10
"304",10
"305",11
"306",11
"307",11
"308",11
"309",11
"310",11
"311",11
"312",11
"313",11
"314",11
"315",11
"316",11
"317",11
"318",11
"319",11
"320",11
"321",11
"322",11
"323",11
"324",11
"325",11
"326",11
"327",11
"328",11
"329",11
"330",11
"331",11
"332",11
"333",11
"334",11
"335",12
"336",12
"337",12
"338",12
"339",12
"340",12
"341",12
"342",12
"343",12
"344",12
"345",12
"346",12
"347",12
"348",12
"349",12
"350",12
"351",12
"352",12
"353",12
"354",12
"355",12
"356",12
"357",12
"358",12
"359",12
"360",12
"361",12
"362",12
"363",12
"364",12
"365",12
"366",1
"367",1
"368",1
"369",1
"370",1
"371",1
"372",1
"373",1
"374",1
"375",1
"376",1
"377",1
"378",1
"379",1
"380",1
"381",1
"382",1
"383",1
"384",1
"385",1
"386",1
"387",1
"388",1
"389",1
"390",1
"391",1
"392",1
"393",1
"394",1
"395",1
"396",1
"397",2
"398",2
"399",2
"400",2
"401",2
"402",2
"403",2
"404",2
"405",2
"406",2
"407",2
"408",2
"409",2
"410",2
"411",2
"412",2
"413",2
"414",2
"415",2
"416",2
"417",2
"418",2
"419",2
"420",2
"421",2
"422",2
"423",2
"424",2
"425",3
"426",3
"427",3
"428",3
"429",3
"430",3
"431",3
"432",3
"433",3
"434",3
"435",3
"436",3
"437",3
"438",3
"439",3
"440",3
"441",3
"442",3
"443",3
"444",3
"445",3
"446",3
"447",3
"448",3
"449",3
"450",3
"451",3
"452",3
"453",3
"454",3
"455",3
"456",4
"457",4
"458",4
"459",4
"460",4
"461",4
"462",4
"463",4
"464",4
"465",4
"466",4
"467",4
"468",4
"469",4
"470",4
"471",4
"472",4
"473",4
"474",4
"475",4
"476",4
"477",4
"478",4
"479",4
"480",4
"481",4
